variable,dataset,usable,type,encoding_method,n_unique,n_missing,n_total,sample_values,notes
LBDPFHSL,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDPFNAL,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDPFOAL,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDPFOSL,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDPFSAL,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDPFUAL,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
VNURXBFOAL,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
VNURXCLPFL,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
VNURXDONAL,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
VNURXFHPSL,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
VNURXFPEAL,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
VNURXGENXL,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
VNURXMFOSL,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
VNURXPFBAL,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
VNURXPFBSL,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
VNURXPFDEL,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
VNURXPFHAL,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
VNURXPFHPL,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
VNURXPFHSL,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
VNURXPFNAL,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
VNURXPFUAL,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URD4TOLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDBP3LC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDBPFLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDBPHLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDBPSLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDBUPLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDEPBLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDMPBLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDPPBLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDTLCLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDTRSLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDAPELC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDETULC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDMTOLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDOMOLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDPTULC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDALDLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDDIELC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXDTCLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDENDLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDGHCLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDHCBLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDHPELC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDMIRLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDODTLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDOXYLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDPDELC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDPDTLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDTNALC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDCNPLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDCOPLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDECPLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDHIBLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDMBPLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDMC1LC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDMCOLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDMCPLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDMEPLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDMHBLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDMHHLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDMCHLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDMHPLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDMIBLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDMNMLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDMNPLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDMOHLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDMONLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDMOPLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDMZPLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
VNSUMDEHPLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDDAZLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDDMALC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDEQULC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDETDLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDETLLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDGNSLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDP01LC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDP02LC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDP03LC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDP04LC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDP05LC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDP06LC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDP07LC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDP09LC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDP10LC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDP17LC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDP19LC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDP25LC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXSKSILC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXSKSI1LC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXSKSI2LC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URD24DLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URD25TLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URD4FPLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDCB3LC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDMALLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDOPMLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDOXYLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDPARLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDPCPLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDTCCLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDBSELC,comments,TRUE,numeric,none,1,7366,20000,0,NA
LBXSNASILC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXSNASI1LC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXSNASI2LC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDEPCLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDMHTLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDUABLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDUACLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDUASLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDUA3LC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDUA5LC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDUDALC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDUMMAL,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDUTMLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
VNSUMARSLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDUBALC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDUBELC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDUCOLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDUCSLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDUMNLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDUMOLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDUNILC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDUPBLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDUPTLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDUSBLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDUSNLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDUSRLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDUTLLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDUTULC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDUURLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDTLYLC,comments,TRUE,numeric,none,2,4202,20000,"0, 1",NA
LBDALCLC,comments,TRUE,numeric,none,1,4202,20000,0,NA
LBDARYLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXBCCLC,comments,TRUE,numeric,none,2,4202,20000,"0, 1",NA
LBXBCC1LC,comments,TRUE,numeric,none,2,4274,20000,"0, 1",NA
LBXBCC2LC,comments,TRUE,numeric,none,1,17667,20000,0,NA
LBDBECLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXCLCLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXCLZLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDCRYLC,comments,TRUE,numeric,none,1,4202,20000,0,NA
LBDGTCLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXLUTLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDLUZLC,comments,TRUE,numeric,none,2,4202,20000,"0, 1",NA
LBDLYCLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXPHELC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXPHFLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDRPLLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDRSTLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDVIALC,comments,TRUE,numeric,none,1,4202,20000,0,NA
LBDVIELC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXZEALC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX4PALC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXB12LC,comments,TRUE,numeric,none,1,15525,20000,0,NA
LBXPLPLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDVICLC,comments,TRUE,numeric,none,2,5767,20000,"0, 1",NA
LBDVD2LC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDVD3LC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDVE3LC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDVIDLC,comments,TRUE,numeric,none,2,7229,20000,"0, 1",NA
LBDVID1LC,comments,TRUE,numeric,none,2,7229,20000,"0, 1",NA
LBDVID2LC,comments,TRUE,numeric,none,2,18578,20000,"0, 1",NA
URDNDELC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDMEALC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDMORLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDPIPLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDPYRLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBD2DFLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBD4CELC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDNMLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDV06LC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDV07LC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDV08LC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDV1ALC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDV1DLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDV1ELC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDV2ALC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDV2CLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDV2ELC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDV2PLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDV2TLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDV3BLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDV4CLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDV4ELC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDVBFLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDVBMLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDVBZLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDVZBLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDVC6LC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDVCBLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDVCFLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDVCMLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDVCTLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDVDBLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDVDELC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDVEELC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDVDMLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDVDPLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDVDXLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDVEALC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDVEBLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDVECLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDVFNLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDVHELC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDVIBLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDVIPLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDVMCLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDVMPLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDVMELC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDVMKLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDVNBLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDVOXLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDVSTLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDVTCLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDVTELC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDVFTLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDVHTLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDVTOLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDVTPLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDVVBLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBDVXYLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URD1DCLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URD2DCLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URD2MHLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URD34MLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDAAMLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDAMCLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDATCLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDBMALC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDBPMLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDCEMLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDCYALC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDCYMLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDDHBLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDDPMLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDGAMLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDHEMLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDHP2LC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDHPMLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDPM1LC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDPM3LC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDMADLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDMB1LC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDMB2LC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDMB3LC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDPHELC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDPHGLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDPMALC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDPMMLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDTCVLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URDTTCLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXSZNLC,comments,FALSE,NA,NA,NA,20000,20000,NA,All values missing
SDDSRVYR,comments,TRUE,numeric,none,1,0,20000,-1,NA
SEQN_new,demographics,FALSE,NA,NA,20000,0,20000,NA,ID variable - exclude
AIALANGA,demographics,FALSE,NA,NA,NA,20000,20000,NA,All values missing
DMAETHN,demographics,FALSE,NA,NA,NA,20000,20000,NA,All values missing
DMAETHNR,demographics,TRUE,numeric,none,3,0,20000,"1, 3, 2",NA
DMARACE,demographics,FALSE,NA,NA,NA,20000,20000,NA,All values missing
DMARACER,demographics,TRUE,numeric,none,4,0,20000,"1, 2, 3, 8",NA
DMDBORN4,demographics,TRUE,numeric,none,3,77,20000,"1, 2, 99",NA
DMDCITZN,demographics,FALSE,NA,NA,NA,20000,20000,NA,All values missing
DMDEDUC,demographics,FALSE,NA,NA,NA,20000,20000,NA,All values missing
DMDEDUC2,demographics,TRUE,numeric,none,6,125,20000,"3, 4, 5, 1, 2",NA
DMDEDUC3,demographics,FALSE,NA,NA,NA,20000,20000,NA,All values missing
DMDFMSIZ,demographics,TRUE,numeric,none,7,0,20000,"4, 3, 2, 5, 1",NA
DMDHHSIZ,demographics,TRUE,numeric,none,7,0,20000,"4, 3, 2, 5, 1",NA
DMDHHSZA,demographics,FALSE,NA,NA,NA,20000,20000,NA,All values missing
DMDHHSZB,demographics,FALSE,NA,NA,NA,20000,20000,NA,All values missing
DMDHHSZE,demographics,FALSE,NA,NA,NA,20000,20000,NA,All values missing
DMDHRAGE,demographics,TRUE,numeric,none,4,134,20000,"2, 3, 4, 1",NA
DMDHRBR4,demographics,TRUE,numeric,none,3,172,20000,"1, 2, 99",NA
DMDHREDU,demographics,TRUE,numeric,none,4,163,20000,"1, 2, 3, 9",NA
DMDHRGND,demographics,TRUE,numeric,none,2,124,20000,"2, 1",NA
DMDHRMAR,demographics,TRUE,numeric,none,4,119,20000,"2, 1, 3, 99",NA
DMDHSEDU,demographics,FALSE,NA,NA,NA,20000,20000,NA,All values missing
DMDMARTL,demographics,TRUE,numeric,none,7,100,20000,"5, 1, 6, 4, 3",NA
DMDSCHOL,demographics,FALSE,NA,NA,NA,20000,20000,NA,All values missing
DMDYRSUS,demographics,TRUE,numeric,none,10,16419,20000,"4, 6, 7, 3, 2",NA
DMPCNTYR,demographics,TRUE,numeric,none,31,10592,20000,"37, 17, 13, 163, 125",NA
DMPCREGN,demographics,TRUE,numeric,none,4,0,20000,"4, 1, 2, 3",NA
DMPFIPSR,demographics,TRUE,numeric,none,13,10592,20000,"6, 25, 4, 26, 12",NA
DMPFSEQ,demographics,TRUE,numeric,none,12850,0,20000,"3872, 4115, 4064, 5386, 8142",NA
DMPMETRO,demographics,TRUE,numeric,none,2,0,20000,"1, 2",NA
DMQADFC,demographics,FALSE,NA,NA,NA,20000,20000,NA,All values missing
DMQMILIZ,demographics,FALSE,NA,NA,NA,20000,20000,NA,All values missing
FIAINTRP,demographics,FALSE,NA,NA,NA,20000,20000,NA,All values missing
FIALANG,demographics,TRUE,numeric,none,3,123,20000,"1, 2, 3",NA
FIAPROXY,demographics,FALSE,NA,NA,NA,20000,20000,NA,All values missing
HAA1,demographics,TRUE,numeric,none,3,8,20000,"1, 2, 9",NA
HAA2,demographics,TRUE,numeric,none,3,19,20000,"2, 1, 9",NA
HAA2A,demographics,TRUE,numeric,none,5,17209,20000,"3, 5, 1, 2, 4",NA
HAA3,demographics,TRUE,numeric,none,2,0,20000,"1, 2",NA
HAA4,demographics,TRUE,numeric,none,3,14015,20000,"1, 2, 9",NA
HAA5,demographics,TRUE,numeric,none,4,13824,20000,"1, 3, 9, 2",NA
HAA6A,demographics,TRUE,numeric,none,3,16970,20000,"2, 1, 9",NA
HAA6B,demographics,TRUE,numeric,none,3,16967,20000,"1, 2, 9",NA
HAA6C,demographics,TRUE,numeric,none,3,16970,20000,"1, 9, 2",NA
HAA6D,demographics,TRUE,numeric,none,3,16973,20000,"1, 2, 9",NA
HAD2,demographics,TRUE,numeric,none,2,18389,20000,"1, 2",NA
HAINTVR,demographics,TRUE,numeric,none,87,538,20000,"7057, 7054, 7056, 7003, 7024",NA
HALANG,demographics,TRUE,numeric,none,3,50,20000,"1, 2, 3",NA
HAV10R,demographics,TRUE,numeric,none,4,13272,20000,"1, 3, 2, 9",NA
HAV11,demographics,TRUE,numeric,none,7,12796,20000,"1, 2, 3, 5, 4",NA
HAV1S,demographics,TRUE,numeric,none,56,117,20000,"1, 6, 3, 5555, 7",NA
HAV2S,demographics,TRUE,numeric,none,60,28,20000,"24, 48, 52, 104, 365",NA
HAV3S,demographics,TRUE,numeric,none,53,28,20000,"24, 72, 52, 12, 365",NA
HAV4S,demographics,TRUE,numeric,none,46,40,20000,"0, 6, 24, 52, 104",NA
HAV5,demographics,TRUE,numeric,none,2,28,20000,"2, 1",NA
HAV6S,demographics,TRUE,numeric,none,54,14185,20000,"0, 12, 16, 84, 6",NA
HAV7R,demographics,TRUE,numeric,none,313,97,20000,"208, 17, 988, 156, 1300",NA
HAV8,demographics,TRUE,numeric,none,8,530,20000,"3, 1, 2, 4, 6",NA
HAV9,demographics,TRUE,numeric,none,3,6053,20000,"2, 1, 9",NA
HAVERS,demographics,TRUE,numeric,none,3,0,20000,"1, 4, 3",NA
HAY10,demographics,TRUE,numeric,none,2,53,20000,"1, 2",NA
HAY6,demographics,TRUE,numeric,none,8,290,20000,"1, 4, 10, 8, 2",NA
HAY7,demographics,TRUE,numeric,none,4,19810,20000,"1, 3, 2, 4",NA
HAY8,demographics,TRUE,numeric,none,2,19619,20000,"2, 1",NA
HAY9,demographics,TRUE,numeric,none,2,667,20000,"2, 1",NA
HFA13,demographics,TRUE,numeric,none,3,170,20000,"2, 1, 9",NA
HFAGERR,demographics,TRUE,numeric,none,74,790,20000,"33, 32, 52, 48, 44",NA
HFC1,demographics,TRUE,numeric,none,1,0,20000,1,NA
HFC10,demographics,FALSE,NA,NA,NA,20000,20000,NA,All values missing
HFC11,demographics,FALSE,NA,NA,NA,20000,20000,NA,All values missing
HFC7S,demographics,FALSE,NA,NA,NA,20000,20000,NA,All values missing
HFC8S,demographics,FALSE,NA,NA,NA,20000,20000,NA,All values missing
HFC9,demographics,FALSE,NA,NA,NA,20000,20000,NA,All values missing
HFE1,demographics,TRUE,numeric,none,4,718,20000,"2, 1, 3, 9",NA
HFE10,demographics,TRUE,numeric,none,6,6458,20000,"2, 1, 3, 9, 5",NA
HFE11,demographics,TRUE,numeric,none,3,92,20000,"2, 1, 9",NA
HFE12,demographics,TRUE,numeric,none,7,15492,20000,"1, 2, 4, 5, 3",NA
HFE13,demographics,TRUE,numeric,none,3,81,20000,"2, 1, 9",NA
HFE14,demographics,TRUE,numeric,none,3,93,20000,"2, 1, 9",NA
HFE15,demographics,TRUE,numeric,none,3,84,20000,"1, 2, 9",NA
HFE16,demographics,TRUE,numeric,none,3,9012,20000,"1, 2, 9",NA
HFE17,demographics,TRUE,numeric,none,5,14331,20000,"2, 9, 4, 1, 3",NA
HFE18,demographics,TRUE,numeric,none,3,9043,20000,"1, 2, 9",NA
HFE2,demographics,TRUE,numeric,none,18,113,20000,"4, 6, 7, 9, 1",NA
HFE3,demographics,TRUE,numeric,none,92,232,20000,"8, 5, 20, 3, 25",NA
HFE4,demographics,TRUE,numeric,none,3,88,20000,"2, 1, 9",NA
HFE5,demographics,TRUE,numeric,none,4,2530,20000,"1, 2, 9, 3",NA
HFE6,demographics,TRUE,numeric,none,3,2529,20000,"2, 1, 9",NA
HFE7,demographics,TRUE,numeric,none,2,75,20000,"2, 1",NA
HFE8A,demographics,TRUE,numeric,none,2,13529,20000,"1, 2",NA
HFE8B,demographics,TRUE,numeric,none,2,13529,20000,"2, 1",NA
HFE8C,demographics,TRUE,numeric,none,2,13529,20000,"2, 1",NA
HFE8D,demographics,TRUE,numeric,none,2,13529,20000,"2, 1",NA
HFE8E,demographics,TRUE,numeric,none,5,19568,20000,"1, 4, 3, 2, 5",NA
HFE9,demographics,TRUE,numeric,none,3,80,20000,"2, 1, 9",NA
